"","Country","Total","Family-sponsored preferences","Employment-based preferences","Immediate relatives of U.S. citizens","Diversity","Refugees and asylees","Other","Code"
"1","Afghanistan",7527,"202","9","857","45","185","6229",4
"2","Albania",4354,"557","64","1927","1649","139","18",8
"3","Algeria",1660,"97","5","543","989","19","7",12
"4","Angola",160,"6","16","85","14","39"," - ",24
"5","Anguilla",22," - "," - ","18"," - "," - ","1",660
"6","Argentina",3542,"188","935","2171","50","134","64",32
"7","Armenia",3008,"250","104","1097","1317","229","11",51
"8","Aruba",39,"4","3","32"," - "," - "," - ",533
"9","Australia",3795,"202","1296","1808","475","5","9",36
"10","Austria",1928," - ","183","253","37","1429"," - ",40
"11","Azerbaijan",511,"36","25","215","173","59","3",31
"12","Bahamas",801,"66","101","604","7","17","6",44
"13","Bahrain",195,"25","42","74"," - ","44"," - ",48
"14","Bangladesh",13210,"6910","494","5607"," - ","159"," - ",50
"15","Barbados",398,"107","35","242","8"," - ","6",52
"16","Belarus",1991,"87","192","700","774","232","6",112
"17","Belgium",809,"17","382","341","55"," - "," - ",56
"18","Belize",804,"188","40","559"," - ","6","11",84
"19","Benin",491,"20","9","231","195","32","4",204
"20","Bermuda",150,"22","42","83"," - "," - "," - ",60
"21","Bhutan",94," - "," - ","18"," - ","72"," - ",64
"22","Botswana",111,"4","18","38","12","39"," - ",72
"23","Brazil",11247,"476","2604","7856","16","113","182",76
"24","Bulgaria",2585,"122","240","1361","803","47","12",100
"25","Burkina Faso",605,"31","13","273","117","168","3",854
"26","Burundi",288,"8","4","52","38","186"," - ",108
"27","Cambodia",1776,"312","52","1174","195","39","4",116
"28","Cameroon",4245,"408","75","1505","1401","850","6",120
"29","Canada",19309,"1556","9655","7547","241","68","242",124
"30","Cayman Islands",100,"15","19","55","8","3"," - ",136
"31","Central African Republic",45," - "," - ","19"," - ","23"," - ",140
"32","Chad",297," - ","7","25"," - ","258","1",148
"33","Chile",1620,"124","346","1052","20","42","36",152
"34","China",70977,"13824","20594","26936","36","9361","226",156
"35","Colombia",16509,"3102","1161","11516","13","587","130",170
"36","Costa Rica",2121,"174","242","1622","8","39","36",188
"37","Croatia",308,"8","40","216","21","23"," - ",191
"38","Cuba",54178,"2187","7","3823","428","47670","63",192
"39","Cyprus",153,"8","52","72","17","4"," - ",196
"40","Denmark",634,"17","302","284","26"," - "," - ",208
"41","Djibouti",1925,"259"," - ","1040"," - ","614"," - ",262
"42","Dominica",220,"114"," - "," - "," - "," - "," - ",212
"43","Dominican Republic",50382,"26365","376","23381"," - "," - ","144",214
"44","Ecuador",9816,"3052","614","5225"," - "," - ","541",218
"45","Egypt",13907,"895","671","3399","2802","6118","22",818
"46","El Salvador",18699,"6785","1306","8861","3","357","1387",222
"47","Equatorial Guinea",32," - "," - ","13","5","9"," - ",226
"48","Eritrea",772,"32"," - ","334","59","336"," - ",232
"49","Estonia",175,"8","17","126","19"," - "," - ",233
"50","Ethiopia",12566,"1623","124","3541","2509","4754","15",231
"51","Fiji",837,"300","9","330","161","34","3",242
"52","Finland",397," - ","186","184","20"," - "," - ",246
"53","France",5034,"206","2207","2200","369","42","10",250
"54","French Polynesia",11," - "," - "," - "," - "," - "," - ",258
"55","Gabon",175," - ","16","91","18","40"," - ",266
"56","Gambia",1151,"95","39","731","8","238","40",270
"57","Georgia",1317,"104","52","689","395","74","3",268
"58","Germany",5965,"238","1908","3253","468","61","37",276
"59","Ghana",6316,"896","313","4316","488","284","19",288
"60","Greece",1330,"89","277","755","194"," - "," - ",300
"61","Grenada",524,"118","33","355"," - "," - ","12",308
"62","Guatemala",11466,"2640","1578","5135","26","614","1473",320
"63","Guinea",1418,"97","10","441","288","546","36",324
"64","Guinea-Bissau",28," - "," - ","22"," - "," - "," - ",624
"65","Guyana",5313,"3329","48","1892","8","13","23",328
"66","Haiti",16787,"6954","115","8339","6","1241","132",332
"67","Honduras",9071,"1960","1184","4958","27","276","666",340
"68","Hong Kong",2426,"993","500","847","49","26","11",344
"69","Hungary",1037,"32","213","662","111","15","4",348
"70","Iceland",112,"4","47","43","18"," - "," - ",352
"71","India",61380,"13993","25780","19918","65","1193","431",356
"72","Indonesia",1935,"117","395","1153","47","183","40",360
"73","Iraq",10255,"121","25","737","20","8464","888",368
"74","Ireland",1798,"54","781","897","60"," - "," - ",372
"75","Israel",4324,"202","1807","2044","205","47","19",376
"76","Italy",3829,"177","1085","2029","355","167","16",380
"77","Jamaica",17362,"5344","578","11296","3","63","78",388
"78","Japan",5808,"162","2157","3260","185","29","15",392
"79","Jordan",7835,"1239","270","2634","117","3549","26",400
"80","Kazakhstan",983,"29","76","478","278","119","3",398
"81","Kenya",8025,"492","340","2895","1046","3220","32",404
"82","Kuwait",846,"112","152","388"," - ","134"," - ",414
"83","Kyrgyzstan",802,"26","32","263","224","252","5",417
"84","Latvia",460,"21","27","357","44","5","6",428
"85","Lebanon",4499,"731","350","1465","39","1899","15",422
"86","Lesotho",26," - ","5","16"," - "," - ","2",426
"87","Liberia",3580,"280","21","1234","1811","221","13",430
"88","Libya",333,"9","11","231","56","26"," - ",434
"89","Lithuania",700,"38","51","491","108","6","6",440
"90","Luxembourg",35," - ","15","14","3"," - "," - ",442
"91","Madagascar",58,"8","8","26","16"," - "," - ",450
"92","Malawi",278,"5","19","80","5","169"," - ",454
"93","Malaysia",9338,"189","533","757","49","7790","20",458
"94","Mali",590,"25","15","312","13","176","49",466
"95","Malta",468," - ","12","17"," - ","436"," - ",470
"96","Marshall Islands",34," - ","3","31"," - "," - "," - ",584
"97","Mauritania",256,"4","3","102"," - ","144"," - ",478
"98","Mauritius",69,"6","18","41"," - "," - "," - ",480
"99","Mexico",157227,"41497","6523","97593","23","757","10834",484
"100","Monaco",14," - ","5","5"," - "," - "," - ",492
"101","Mongolia",632,"31","86","330","67","97","21",496
"102","Montenegro",249,"37","7","185"," - ","13"," - ",499
"103","Montserrat",10," - "," - "," - "," - "," - "," - ",500
"104","Morocco",3569,"288","70","2276","896","29","10",504
"105","Mozambique",165,"5","10","25","7","118"," - ",508
"106","Namibia",168," - ","9","32"," - ","121"," - ",516
"107","Nepal",18936,"647","1258","2154","3402","11457","18",524
"108","Netherlands",1505,"50","693","678","67","13","4",528
"109","New Zealand",978,"61","282","500","131"," - "," - ",554
"110","Nicaragua",3262,"810","66","2133","3","119","131",558
"111","Niger",61," - "," - ","45","8"," - "," - ",562
"112","Nigeria",11120,"1630","667","8131","530","134","28",566
"113","Norway",357,"14","114","214","10"," - "," - ",578
"114","Oman",209,"17","72","57","32","26","5",512
"115","Pakistan",17598,"6627","1944","8124","21","806","76",586
"116","Palau",18," - ","4","10"," - "," - "," - ",585
"117","Panama",1133,"191","113","770","8","38","13",591
"118","Papua New Guinea",15," - ","5","6"," - "," - "," - ",598
"119","Paraguay",353,"23","50","259"," - ","18","3",600
"120","Peru",9973,"2504","482","6611"," - ","155","221",604
"121","Philippines",54307,"15486","9459","29103","6","15","238",608
"122","Poland",4921,"872","648","2957","386","13","45",616
"123","Portugal",869,"85","183","551","25","10","15",620
"124","Qatar",503,"89","95","166","129","24"," - ",634
"125","Romania",3160,"225","406","1890","472","161","6",642
"126","Rwanda",1107," - ","24","72","198","802"," - ",646
"127","Saint Lucia",743,"191","33","507"," - "," - ","6",662
"128","Samoa",189," - "," - ","181"," - "," - "," - ",882
"129","Saudi Arabia",2108,"283","335","926","440","121","3",682
"130","Senegal",1272,"125","58","843","101","101","44",686
"131","Serbia",1284,"94","112","829","221"," - "," - ",688
"132","Seychelles",11," - "," - "," - "," - "," - "," - ",690
"133","Sierra Leone",1492,"114","38","852","401","80","7",694
"134","Singapore",1684,"108","1145","384","32","11","4",702
"135","Slovakia",542,"10","79","248","38","163","4",703
"136","Slovenia",98," - ","28","66"," - "," - "," - ",705
"137","Somalia",518,"11"," - ","231","12","261"," - ",706
"138","South Africa",3298,"93","762","1327","345","757","14",710
"139","South Sudan",71," - "," - ","47"," - ","11"," - ",728
"140","Spain",3707,"214","1188","1465","190","643","7",724
"141","Sri Lanka",1530,"198","382","522","223","195","10",144
"142","Sudan",1623,"86","11","461","769","293","3",729
"143","Suriname",116,"24"," - ","87"," - "," - "," - ",740
"144","Swaziland",26," - "," - ","18"," - "," - "," - ",748
"145","Sweden",1194,"53","418","631","69","14","9",752
"146","Switzerland",1007,"23","540","368","54","16","6",756
"147","Tajikistan",523,"20","34","170","238","61"," - ",762
"148","Thailand",12093,"297","369","3244","28","8029","126",764
"149","Togo",1491,"151","12","675","518","123","12",768
"150","Tonga",317,"100"," - ","204"," - "," - "," - ",776
"151","Tunisia",1375,"19","37","341","37","933","8",788
"152","Turkey",8762,"239","992","1721","1091","4696","23",792
"153","Turkmenistan",179," - ","12","58","76","24"," - ",795
"154","Uganda",3199,"115","121","758","192","2009","4",800
"155","Ukraine",7809,"784","726","4535","1226","509","29",804
"156","United Arab Emirates",2714,"432","589","725","353","576","39",784
