Region and country of birth,Total,Female,Male,Under 1 year,1 to 4 years,5 years and over
COUNTRY,,,,,,
Total,"5,462","2,756","2,706",148,"3,091","2,223"
Armenia,18,10,8,4,9,5
Bangladesh,11,D,D,6,5,-
Bulgaria,184,101,83,-,75,109
Burundi,10,D,D,-,D,D
Cameroon,12,7,5,-,-,12
"China, People's Republic","2,343","1,268","1,075",28,"1,705",610
Colombia,144,80,64,10,34,100
"Congo, Democratic Republic",129,72,57,D,76,D
Costa Rica,15,12,3,-,D,D
Dominican Republic,10,5,5,-,D,D
Ethiopia,322,109,213,18,188,116
Ghana,78,39,39,D,D,62
Guatemala,13,8,5,-,-,13
Guyana,27,15,12,-,6,21
Haiti,137,71,66,-,52,85
Honduras,24,9,15,-,9,15
Hong Kong,17,4,13,-,10,7
Hungary,18,7,11,-,10,8
India,136,101,35,-,91,45
Jamaica,43,19,24,-,3,40
Japan,17,8,9,10,7,-
"Korea, South",320,84,236,-,320,-
Kyrgyzstan,25,12,13,-,9,16
Latvia,156,93,63,-,15,141
Lithuania,11,6,5,-,D,D
Marshall Islands,21,8,13,D,D,D
Mexico,25,11,14,-,-,25
Morocco,20,8,12,10,6,4
Nicaragua,26,16,10,-,10,16
Nigeria,151,82,69,9,69,73
Pakistan,25,15,10,13,5,7
Philippines,141,79,62,-,31,110
Poland,58,36,22,-,29,29
Saint Vincent and the Grenadines,11,8,3,-,7,4
Samoa,11,4,7,D,8,D
Sierra Leone,24,13,11,-,12,12
South Africa,32,10,22,-,14,18
Taiwan,55,25,30,D,D,26
Thailand,45,21,24,-,34,11
Uganda,190,84,106,3,100,87
Ukraine,265,123,142,8,35,222
All other countries1,142,67,75,4,51,87
