Region and country of last residence 1,1820 to 1829,1830 to 1839,1840 to 1849,1850 to 1859,1860 to 1869,1870 to 1879,1880 to 1889,1890 to 1899,1900 to 1909,1910 to 1919,1920 to 1929,1930 to 1939,1940 to 1949,1950 to 1959,1960 to 1969,1970 to 1979,1980 to 1989,1990 to 1999,2000 to 2009,2010,2011,2012,2013,2014,2015
     Total,128502.00,538381.00,1427337.00,2814554.00,2081261.00,2742137.00,5248568.00,3694294.00,8202388.00,6347380.00,4295510.00,699375.00,856608.00,2499268.00,3213749.00,4248203.00,6244379.00,9775398.00,10299430.00,1042625.00,1062040.00,1031631.00,990553.00,1016518.00,1051031.00
Europe,99618.00,422853.00,1369423.00,2622617.00,1880389.00,2252050.00,4638684.00,3576411.00,7572569.00,4985411.00,2560340.00,444404.00,472524.00,1404973.00,1133443.00,826327.00,669694.00,1349219.00,1349609.00,95429.00,90712.00,86956.00,91095.00,87790.00,90789.00
" Austria-Hungary 2, 3",-,-,-,-,3375.00,60127.00,314787.00,534059.00,2001376.00,1154727.00,60891.00,13902.00,13677.00,113015.00,27590.00,20387.00,20437.00,27529.00,33929.00,4325.00,4703.00,3208.00,2061.00,2058.00,2965.00
"   Austria 2, 3",-,-,-,-,2700.00,54529.00,204805.00,268218.00,532416.00,589174.00,31392.00,6678.00,8496.00,81354.00,17571.00,14239.00,15374.00,18234.00,21151.00,3319.00,3654.00,2199.00,1053.00,1088.00,1928.00
"   Hungary 2, 3",-,-,-,-,483.00,5598.00,109982.00,203350.00,685567.00,565553.00,29499.00,7224.00,5181.00,31661.00,10019.00,6148.00,5063.00,9295.00,12778.00,1006.00,1049.00,1009.00,1008.00,970.00,1037.00
Belgium,28.00,20.00,3996.00,5765.00,5785.00,6991.00,18738.00,19642.00,37429.00,32574.00,21511.00,4013.00,12473.00,18885.00,9647.00,5413.00,7028.00,7077.00,8157.00,732.00,700.00,698.00,803.00,775.00,809.00
Bulgaria 4 ,-,-,-,-,-,-,-,52.00,34651.00,27180.00,2824.00,1062.00,449.00,97.00,598.00,1011.00,1124.00,16948.00,40003.00,2465.00,2549.00,2322.00,2720.00,2886.00,2585.00
Czechoslovakia 5,-,-,-,-,-,-,-,-,-,-,101182.00,17757.00,8475.00,1624.00,2758.00,5654.00,5678.00,8970.00,18691.00,1510.00,1374.00,1316.00,1258.00,1168.00,1236.00
Denmark,173.00,927.00,671.00,3227.00,13553.00,29278.00,85342.00,56671.00,61227.00,45830.00,34406.00,3470.00,4549.00,10918.00,9797.00,4405.00,4847.00,6189.00,6049.00,545.00,473.00,492.00,546.00,533.00,634.00
Finland 6  ,-,-,-,-,3.00,286.00,9617.00,36719.00,-,-,16922.00,2438.00,2230.00,4923.00,4310.00,2829.00,2569.00,3970.00,3970.00,414.00,398.00,373.00,360.00,368.00,397.00
France ,7694.00,39330.00,75300.00,81778.00,35938.00,71901.00,48193.00,35616.00,67735.00,60335.00,54842.00,13761.00,36954.00,50113.00,46975.00,27018.00,32894.00,36552.00,45637.00,4339.00,3967.00,4201.00,4668.00,4544.00,5034.00
Germany 3,5753.00,124726.00,385434.00,976072.00,723734.00,751769.00,1445181.00,579072.00,328722.00,174227.00,386634.00,117736.00,119403.00,576905.00,209616.00,77142.00,85752.00,92207.00,122373.00,7929.00,7072.00,6732.00,6880.00,6387.00,5965.00
Greece,17.00,49.00,17.00,32.00,51.00,209.00,1807.00,12732.00,145402.00,198108.00,60774.00,10599.00,8605.00,45153.00,74173.00,102370.00,37729.00,25403.00,16841.00,966.00,1196.00,1264.00,1526.00,1388.00,1330.00
Ireland 7,51617.00,170672.00,656145.00,1029486.00,427419.00,422264.00,674061.00,405710.00,344940.00,166445.00,201644.00,28195.00,15701.00,47189.00,37788.00,11461.00,22210.00,65384.00,15642.00,1610.00,1533.00,1694.00,1765.00,1721.00,1798.00
Italy,430.00,2225.00,1476.00,8643.00,9853.00,46296.00,267660.00,603761.00,1930475.00,1229916.00,528133.00,85053.00,50509.00,189061.00,200111.00,150031.00,55562.00,75992.00,28329.00,2956.00,2670.00,2946.00,3233.00,3647.00,3829.00
Netherlands,1105.00,1377.00,7624.00,11122.00,8387.00,14267.00,52715.00,29349.00,42463.00,46065.00,29397.00,7791.00,13877.00,46703.00,37918.00,10373.00,11234.00,13345.00,17351.00,1520.00,1258.00,1294.00,1376.00,1373.00,1505.00
Norway-Sweden 8,91.00,1149.00,12389.00,22202.00,82937.00,178823.00,586441.00,334058.00,426981.00,192445.00,170329.00,13452.00,17326.00,44231.00,36150.00,10298.00,13941.00,17825.00,19382.00,1662.00,1530.00,1441.00,1665.00,1479.00,1551.00
   Norway 8,-,-,-,-,-,88644.00,185111.00,96810.00,182542.00,79488.00,70327.00,6901.00,8326.00,22813.00,17371.00,3927.00,3835.00,5211.00,4599.00,363.00,405.00,314.00,389.00,332.00,357.00
